INCIDENT NUMBER,INCIDENT TYPE,INCIDENT DATE,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,HANDLING UNIT ID,GEO_LOCATION,HANDLING UNIT NAME,APPROX_LATITUDE,APPROX_LONGITUDE,Zip Codes,2011 Supervisorial District Boundaries (Official)
1000069,ANIMAL SHOOTING INCIDENT,11/13/2011 8:45,W. 99TH STREET AND NORMANDIE AVENUE,LOS ANGELES,CA,90044,371,SLA,"W. 99TH STREET AND NORMANDIE AVENUE
LOS ANGELES, CA 90044
(33.945946993464, -118.300270000818)",SOUTH LOS ANGELES STATION,33.94594699,-118.30027,23675,2
1000246,UNINTENTIONAL DISCHARGE INCIDENT,5/20/2014 11:40,200 S. WALNUT AVEUNE,SAN DIMAS,CA,91773,815,ATD,"200 S. WALNUT AVEUNE
SAN DIMAS, CA 91773
(34.10519525735, -117.802680294167)",ALTADENA STN,34.10519526,-117.8026803,10134,5
1000519,NON-HIT SHOOTING INCIDENT,3/20/2015 12:44,106TH STREET AND VERMONT AVENUE,LOS ANGELES,CA,90044,375,SLA,"106TH STREET AND VERMONT AVENUE
LOS ANGELES, CA 90044
(33.940006999256, -118.291834025165)",SOUTH LOS ANGELES STATION,33.940007,-118.291834,23675,2
1000236,UNINTENTIONAL DISCHARGE INCIDENT,10/31/2013 23:30,ATLANTIC AVENUE AND PIXLEY STREET,COMPTON,CA,90221,1399,LKD,"ATLANTIC AVENUE AND PIXLEY STREET
COMPTON, CA 90221
(33.901910994092, -118.193879006468)",LAKEWOOD STN,33.90191099,-118.193879,24350,2
1000396,HIT SHOOTING INCIDENT,3/8/2012 15:30,215TH STREET AND ELAINE AVENUE,HAWAIIAN GARDENS,CA,90716,3674,LKD,"215TH STREET AND ELAINE AVENUE
HAWAIIAN GARDENS, CA 90716
(33.834043022232, -118.076518007368)",LAKEWOOD STN,33.83404302,-118.076518,3334,4
1000176,ANIMAL SHOOTING INCIDENT,9/11/2013 13:50,MEDNIK AVENUE AND HAMMEL AVENUE,LOS ANGELES,CA,90022,291,COP,"MEDNIK AVENUE AND HAMMEL AVENUE
LOS ANGELES, CA 90022
(34.042412998042, -118.161886019095)",COPS BUREAU,34.042413,-118.161886,23440,1
1001102,ANIMAL SHOOTING INCIDENT,4/18/2017 14:00,WHITES LANDING ROAD AND AIRPORT ROAD,AVALON,CA,90704,1871,AVA,"WHITES LANDING ROAD AND AIRPORT ROAD
AVALON, CA 90704
(33.3944721, -118.3697967)",AVALON STN,33.3944721,-118.3697967,26325,
1000573,UNINTENTIONAL DISCHARGE INCIDENT,7/28/2015 22:10,200 SUMMER AVENUE,AVALON,CA,90704,1811,AVA,"200 SUMMER AVENUE
AVALON, CA 90704
(33.342861922234, -118.32684440561)",AVALON STN,33.34286192,-118.3268444,26325,4
1000249,UNINTENTIONAL DISCHARGE INCIDENT,6/8/2014 13:33,ROSECRANS AVENUE AND VALLEY VIEW BOULEVARD,LA MIRADA,CA,90638,469,COM,"ROSECRANS AVENUE AND VALLEY VIEW BOULEVARD
LA MIRADA, CA 90638
(33.902525995284, -118.029115001904)",COMPTON STN,33.902526,-118.029115,25732,4
1000438,HIT SHOOTING INCIDENT,5/1/2013 19:25,ADON AVENUE EAST AND SIERRA HIGHWAY,CANYON COUNTRY,CA,91351,631,SCV,"ADON AVENUE EAST AND SIERRA HIGHWAY
CANYON COUNTRY, CA 91351
(34.425456997912, -118.448792975121)",SANTA CLARITA VALLEY STN,34.425457,-118.448793,19334,5
1000475,HIT SHOOTING INCIDENT,1/30/2014 20:22,SOLEDAD CANYON ROAD AND SHANGRI LA DRIVE,SANTA CLARITA,CA,91351,613,SCV,"SOLEDAD CANYON ROAD AND SHANGRI LA DRIVE
SANTA CLARITA, CA 91351
(34.416026986202, -118.458656974312)",SANTA CLARITA VALLEY STN,34.41602699,-118.458657,19334,5
1000452,HIT SHOOTING INCIDENT,8/4/2013 12:30,ROSEMEAD BLVD AND SHENANDOAH AVE,PICO RIVERA,CA,90660,1513,PRV,"ROSEMEAD BLVD AND SHENANDOAH AVE
PICO RIVERA, CA 90660
(33.998613978601, -118.084190005823)",PICO RIVERA STN,33.99861398,-118.08419,25735,1
1000282,UNINTENTIONAL DISCHARGE INCIDENT,7/2/2015 16:00,21600 E. VALLEY BOULEVARD,WALNUT,CA,91789,2901,NARCO,"21600 E. VALLEY BOULEVARD
WALNUT, CA 91789
(34.026804735715, -117.835641214097)",NARCOTICS BUREAU,34.02680474,-117.8356412,10145,1
1000390,ANIMAL SHOOTING INCIDENT,8/25/2015 5:41,MANVILLE STREET AND WILLOWBROOK AVENUE,COMPTON,CA,90220,2837,CPT,"MANVILLE STREET AND WILLOWBROOK AVENUE
COMPTON, CA 90220
(33.870455001444, -118.219993009891)",COMPTON STATION,33.870455,-118.219993,24349,2
1000369,HIT SHOOTING INCIDENT,12/16/2011 3:34,14500 EAST VALLEY BLVD,LA PUENTE,CA,91746,1463,IDT,"14500 EAST VALLEY BLVD
LA PUENTE, CA 91746
(34.035250538346, -117.97699300116)",INDUSTRY STN,34.03525054,-117.976993,9327,1
1000030,ANIMAL SHOOTING INCIDENT,7/7/2010 6:30,17700 S. AVALON BOULEVARD,CARSON,CA,90745,1610,CSN,"17700 S. AVALON BOULEVARD
CARSON, CA 90745
(33.868098085477, -118.265771614669)",CARSON STN,33.86809809,-118.2657716,3698,2
1000033,ANIMAL SHOOTING INCIDENT,7/29/2010 18:45,1500 W. 103RD STREET,LOS ANGELES,CA,90047,372,SLA,"1500 W. 103RD STREET
LOS ANGELES, CA 90047
(33.943040891745, -118.30253493633)",SOUTH LOS ANGELES STATION,33.94304089,-118.3025349,23678,2
1000120,ANIMAL SHOOTING INCIDENT,6/3/2011 8:27,300 E. AVENUE P-3,PALMDALE,CA,93550,2619,PLM,"300 E. AVENUE P-3
PALMDALE, CA 93550
(34.601720091443, -118.12532553681)",PALMDALE STN,34.60172009,-118.1253255,27323,5
1000340,HIT SHOOTING INCIDENT,2/14/2011 20:15,SUNOL DRIVE AND BOSWELL PLACE,LOS ANGELES,CA,90063,278,ELA,"SUNOL DRIVE AND BOSWELL PLACE
LOS ANGELES, CA 90063
(34.017669987869, -118.178976016621)",EAST LA STN,34.01766999,-118.178976,23441,1
1000464,HIT SHOOTING INCIDENT,8/29/2012 17:33,SANTA FE AVENUE AND ANAHEIM STREET,LONG BEACH,CA,90813,1699,CSN,"SANTA FE AVENUE AND ANAHEIM STREET
LONG BEACH, CA 90813
(33.78273600104, -118.215480007421)",CARSON STN,33.782736,-118.21548,4026,4
1000401,HIT SHOOTING INCIDENT,5/13/2012 21:03,GLENCOE STREET AND OLEANDER AVENUE,COMPTON,CA,90220,2836,COM,"GLENCOE STREET AND OLEANDER AVENUE
COMPTON, CA 90220
(33.881486985547, -118.227780005275)",COMPTON STN,33.88148699,-118.22778,24349,2
1000318,HIT SHOOTING INCIDENT,10/10/2010 0:23,LONG BEACH BLVD. AND JOSEPHINE STREET,LYNWOOD,CA,90262,2117,CEN,"LONG BEACH BLVD. AND JOSEPHINE STREET
LYNWOOD, CA 90262
(33.92126399269, -118.20953801765)",CENTURY STN,33.92126399,-118.209538,24691,2
1000419,HIT SHOOTING INCIDENT,9/28/2012 22:12,4900 1ST STREET,EAST LOS ANGELES,CA,90022,282,ELA,"4900 1ST STREET
EAST LOS ANGELES, CA 90022
(34.036943473849, -118.160271497237)",EAST LA STN,34.03694347,-118.1602715,23440,1
1001202,UNINTENTIONAL DISCHARGE INCIDENT,8/4/2017 23:30,1600 EAST 220TH STREET,CARSON,CA,90248,1620,CSN,"1600 EAST 220TH STREET
CARSON, CA 90248
(33.827838, -118.243633)",CARSON STN,33.827838,-118.243633,3354,2
1001169,UNINTENTIONAL DISCHARGE INCIDENT,7/12/2017 7:20,21600 EAST VALLEY BLVD,WALNUT,CA,91789,2916,WAL,"21600 EAST VALLEY BLVD
WALNUT, CA 91789
(34.028348, -117.833925)",WALNUT/SAN DIMAS STN,34.028348,-117.833925,10145,1
1001221,UNINTENTIONAL DISCHARGE INCIDENT,8/8/2017 12:26,5400 LOS ESTADO,YORBA LINDA,CA,92887,3199,HOM,"5400 LOS ESTADO
YORBA LINDA, CA 92887
(33.878346, -117.71965)",HOMICIDE BUREAU,33.878346,-117.71965,1564,
1001241,HIT SHOOTING INCIDENT,8/16/2017 19:17,11600 SLATER STREET,LOS ANGELES,CA,90059,2131,CEN,"11600 SLATER STREET
LOS ANGELES, CA 90059
(33.929346, -118.252257)",CENTURY STN,33.929346,-118.252257,24354,2
1001168,HIT SHOOTING INCIDENT,7/4/2017 13:50,1600 EAST AVENUE Q-10,PALMDALE,CA,93550,2610,PLM,"1600 EAST AVENUE Q-10
PALMDALE, CA 93550
(34.577415, -118.098388)",PALMDALE STN,34.577415,-118.098388,27323,5
1001242,ANIMAL SHOOTING INCIDENT,8/1/2017 21:00,200 SUMNER AVENUE,AVALON,CA,90704,1871,AVA,"200 SUMNER AVENUE
AVALON, CA 90704
(33.342965, -118.326859)",AVALON STN,33.342965,-118.326859,26325,4
1001243,ANIMAL SHOOTING INCIDENT,8/21/2017 7:00,1000 N. EASTERN AVENUE,LOS ANGELES,CA,90063,,TB,"1000 N. EASTERN AVENUE
LOS ANGELES, CA 90063
(34.050105, -118.170037)",TRAINING BUREAU,34.050105,-118.170037,23440,1
1001244,ANIMAL SHOOTING INCIDENT,8/26/2017 7:00,1700 E. AVENUE Q-14,PALMDALE,CA,93550,2610,PLM,"1700 E. AVENUE Q-14
PALMDALE, CA 93550
(34.574401, -118.09833)",PALMDALE STN,34.574401,-118.09833,27323,5
1001281,HIT SHOOTING INCIDENT,9/11/2017 17:43,1200 STICHMAN AVENUE,WEST VALINDA,CA,91746,1420,IND,"1200 STICHMAN AVENUE
WEST VALINDA, CA 91746
(34.061364, -117.978351)",INDUSTRY STN,34.061364,-117.978351,9327,1
1001301,UNINTENTIONAL DISCHARGE INCIDENT,9/26/2017 12:45,29300 THE OLD ROAD,CASTAIC,CA,91384,5640,NCF,"29300 THE OLD ROAD
CASTAIC, CA 91384
(34.449627, -118.613853)",NORTH CO. CORRECTL FAC,34.449627,-118.613853,19338,5
1001303,ANIMAL SHOOTING INCIDENT,10/11/2017 1:07,1500 1/2 WERST 105TH STREET,LOS ANGELES,CA,90047,,SLA,"1500 1/2 WERST 105TH STREET
LOS ANGELES, CA 90047
(33.940947, -118.304641)",SOUTH LOS ANGELES STATION,33.940947,-118.304641,23678,2
1001302,UNINTENTIONAL DISCHARGE INCIDENT,10/5/2017 5:15,11200 BROADMEAD STREET,SOUTH EL MONTE,CA,91733,3605,NAR,"11200 BROADMEAD STREET
SOUTH EL MONTE, CA 91733
(34.04088, -118.03612)",NARCOTICS BUREAU,34.04088,-118.03612,9314,1
1001321,HIT SHOOTING INCIDENT,10/31/2017 6:43,ROSCOE BLVD AT WHITE OAK AVE.,RESEDA,CA,91335,8548,CSB,"ROSCOE BLVD AT WHITE OAK AVE.
RESEDA, CA 91335
(34.22095, -118.519733)",COUNTY SERVICES BUREAU,34.22095,-118.519733,18514,3
1001322,HIT SHOOTING INCIDENT,11/2/2017 16:30,2100 SHAUER STREET,WILLOWBROOK,CA,90222,2136,SEB,"2100 SHAUER STREET
WILLOWBROOK, CA 90222
(33.910983, -118.231595)",SPECIAL ENFORCEMENT BUR,33.910983,-118.231595,24677,2
1000807,ANIMAL SHOOTING INCIDENT,7/20/2016 4:45,8700 WEST AVENUE H,LANCASTER,CA,93536,1187,LCS,"8700 WEST AVENUE H
LANCASTER, CA 93536
(34.718287, -118.289441)",LANCASTER STN,34.718287,-118.289441,26967,5
1000809,ANIMAL SHOOTING INCIDENT,7/25/2016 0:50,45900 247TH EAST STREET EAST,LANCASTER,CA,93535,1194,LCS,"45900 247TH EAST STREET EAST
LANCASTER, CA 93535
(34.718994, -117.688023)",LANCASTER STN,34.718994,-117.688023,26966,5
1001326,ANIMAL SHOOTING INCIDENT,11/11/2017 9:40,6000 CANYONSIDE ROAD,LA CRESCENTA,CA,91214,,CRV,"6000 CANYONSIDE ROAD
LA CRESCENTA, CA 91214
(34.244637, -118.224369)",CRESCENTA VALLEY STN,34.244637,-118.224369,4275,5
1000588,UNINTENTIONAL DISCHARGE INCIDENT,10/21/2015 23:00,2100 S. ATLANTIC BOULEVARD,COMMERCE,CA,90040,243,ELA,"2100 S. ATLANTIC BOULEVARD
COMMERCE, CA 90040
(34.005956, -118.163369)",EAST LA STN,34.005956,-118.163369,23671,1
1001327,NON-HIT SHOOTING INCIDENT,11/20/2017 16:57,11900 168TH STREET,ARTESIA,CA,90701,1348,NWK,"11900 168TH STREET
ARTESIA, CA 90701
(33.878192, -118.076898)",NORWALK REGIONAL STN,33.878192,-118.076898,26323,4
1001328,UNINTENTIONAL DISCHARGE INCIDENT,11/25/2017 17:30,3400 WEST 11TH PLACE,INGLEWOOD,CA,90303,,MCJ,"3400 WEST 11TH PLACE
INGLEWOOD, CA 90303
(33.945514, -118.326314)",MEN'S CENTRAL JAIL,33.945514,-118.326314,25425,2
1001331,UNINTENTIONAL DISCHARGE INCIDENT,12/1/2017 21:13,27000 AGOURA ROAD,CALABASAS,CA,91301,2242,MLH,"27000 AGOURA ROAD
CALABASAS, CA 91301
(34.139426, -118.70849)",MALIBU/LOST HILLS STN,34.139426,-118.70849,4277,3
1001330,UNINTENTIONAL DISCHARGE INCIDENT,11/6/2017 5:55,5500 RIMPAU BOULEVARD,LOS ANGELES,CA,90043,2768,MAR,"5500 RIMPAU BOULEVARD
LOS ANGELES, CA 90043
(33.990607, -118.339915)",MARINA DEL REY STN,33.990607,-118.339915,23674,2
1001262,UNINTENTIONAL DISCHARGE INCIDENT,9/13/2017 17:10,500 NORTH ALAMEDA AVENUE,AZUSA,CA,91702,,SO,"500 NORTH ALAMEDA AVENUE
AZUSA, CA 91702
(34.129863, -117.906232)",PITCHESS SOUTH FACILITY,34.129863,-117.906232,8894,1
1001332,ANIMAL SHOOTING INCIDENT,12/6/2017 16:47,2300 LIGHTCAP STREET,LANCASTER,CA,93535,1137,LCS,"2300 LIGHTCAP STREET
LANCASTER, CA 93535
(34.696959, -118.094664)",LANCASTER STN,34.696959,-118.094664,26966,5
1001324,UNINTENTIONAL DISCHARGE INCIDENT,11/6/2017 21:58,21900 SOUTH MARTIN STREET,CARSON,CA,90745,1628,CSN,"21900 SOUTH MARTIN STREET
CARSON, CA 90745
(33.831618, -118.27823)",CARSON STN,33.831618,-118.27823,3354,2
1001329,HIT SHOOTING INCIDENT,11/28/2017 22:18,21300 BOTTLETREE LANE,SANTA CLARITA,CA,91321,627,SCV,"21300 BOTTLETREE LANE
SANTA CLARITA, CA 91321
(34.377031, -118.510765)",SANTA CLARITA VALLEY STN,34.377031,-118.510765,4290,5
1000678,HIT SHOOTING INCIDENT,1/12/2016 17:45,1100 WEST AVENUE,LANCASTER,CA,93534,1121,OSS,"1100 WEST AVENUE
LANCASTER, CA 93534
(34.715187, -118.149901)",OPERATION SAFE STREETS BUREAU,34.715187,-118.149901,26965,5
1001261,NON-HIT SHOOTING INCIDENT,9/8/2017 3:14,17300 EAST TEMPLE AVENUE,VALINDA,CA,91744,1442,IND,"17300 EAST TEMPLE AVENUE
VALINDA, CA 91744
(34.024665, -117.916939)",INDUSTRY STN,34.024665,-117.916939,9324,1
